PaperID	Author	Title	Source	PubYear	Volume	Issue	StartPage	EndPage	StartYear	EndYear	Months	Areakm2	NumCams	CamDays
88	"Arispe, Rosario; Rumiz, Damian; Noss, Andrew J."	Six species of cats registered by camera trap surveys of tropical dry forest in Bolivia.	Cat News	2007	46		36	38	2002	2006	6		24	1695
90	"Aronsen, Gary P."	"New photographic evidence of the African golden cat (Profelis aurata Temminck) at Mainaro, Kibale National Park, Uganda"	AFRICAN JOURNAL OF ECOLOGY	2010	48	2	541	545	2008	2008	1		5	150
91	"Arroyo-Arce, Stephanny; Thomson, Ian; Guy, Danny; Searcy, Amber"	"First confirmed record of margay in Tortuguero National Park, Costa Rica."	Cat News	2019	69		6	7						
92	"Arroyo-Arce, Stephanny; Thomson, Ian; Cutler, Kat; Wilmott, Stephanie"	"Feeding habits of the jaguar Panthera onca (Carnivora: Felidae) in Tortuguero National Park, Costa Rica"	REVISTA DE BIOLOGIA TROPICAL	2018	66	1	70	77						
93	"Arroyo-Arce, Stephanny; Thomson, Ian; Fernández, Carlos; Salom-Pérez, Roberto"	"Relative abundance and activity patterns of terrestrial mammals in Pacuare Nature Reserve, Costa Rica"	Cuadernos de Investigación UNED	2017	9	1	15	21	2015	2016	12		7	1643
94	"Arroyo-Arce, Stephanny; Thomson, Ian; Salom-Pérez, Roberto"	"Relative abundance and activity patterns of terrestrial mammalian species in Barra del Colorado Wildlife Refuge, Costa Rica"	Cuadernos de Investigación UNED	2016	8	2	131	137	2014	2014	11		10	1611
95	"Arroyo-Arce, Stephanny; Thomson, Ian; Fernandez, Carlos; Salom-Perez, Roberto"	"First record of a marine turtle predated by a jaguar in Pacuare Nature Reserve, Costa Rica."	Cat News	2016	64		6	7	2014	2014				
96	"Arroyo-Arce, Stephanny; Guilder, James; Salom-Perez, Roberto"	"Habitat features influencing jaguar Panthera onca (Carnivora: Felidae) occupancy in Tortuguero National Park, Costa Rica"	REVISTA DE BIOLOGIA TROPICAL	2014	62	4	1449	1458	2012	2013	13	458	25	
97	"Asad, Muhammad; Waseem, Muhammad; Ross, James G.; Paterson, Adrian M."	"The Un-Common Leopard: presence, distribution and abundance in Gallies and Murree Forest Division, Northern Pakistan"	NATURE CONSERVATION-BULGARIA	2019		37	53	80	2017	2018	8		14	6044
101	"Astete, S.; Marinho-Filho, J.; Kajin, M.; Penido, G.; Zimbres, B.; Sollmann, R.; Jacomo, A. T. A.; Torres, N. M.; Silveira, L."	Forced neighbours: Coexistence between jaguars and pumas in a harsh environment	JOURNAL OF ARID ENVIRONMENTS	2017	146		27	34	2009	2010	7	58		30410
102	"Astete, Samuel; Marinho-Filho, Jader; Machado, Ricardo B.; Zimbres, Barbara; Jacomo, Anah T. A.; Sollmann, Rahel; Torres, Natalia M.; Silveira, Leandro"	"Living in extreme environments: modeling habitat suitability for jaguars, pumas, and their prey in a semiarid habitat"	JOURNAL OF MAMMALOGY	2017	98	2	464	474	2007	2011	19	1291	70	39876
103	"Attum, Omar; Rosenbarger, Dasynda; Al Awaji, Malik; Kramer, Andrew; Eid, Ehab"	"Population size and artificial waterhole use by striped hyenas in the Dana Biosphere Reserve, Jordan"	MAMMALIA	2017	81	4	415	419	2010	2012	11			
104	"Augustine, Ben C.; Royle, J. Andrew; Murphy, Sean M.; Chandler, Richard B.; Cox, John J.; Kelly, Marcella J."	Spatial capture-recapture for categorically marked populations with an application to genetic capture-recapture	ECOSPHERE	2019	10	4								
105	"Austin, Caitlin; Tuft, Katherine; Ramp, Daniel; Cremona, Teigan; Webb, Jonathan K."	Bait preference for remote camera trap studies of the endangered northern quoll (Dasyurus hallucatus)	AUSTRALIAN MAMMALOGY	2017	39	1	72	77	2013	2013	1	1	18	180
106	"Avgan, Batur; Zimmermann, Fridolin; Guentert, Marcel; Arikan, Fehmi; Breitenmoser, Urs"	The first density estimation of an isolated Eurasian lynx population in southwest Asia	WILDLIFE BIOLOGY	2014	20	4	217	221	2010	2010	3		34	3422
107	"Awais, Muhammad; Mahmood, Tario.; Iftikhar-Uz-Zamman; Waseem, Muhammad"	"First camera trap photos of leopard in the Galiat Forests of Abbottabad, Pakistan."	Cat News	2017	65		31	31	2015	2016				
109	"Azad, MAJBA"	Mammal diversity and conservation in a secondary forest in Peninsular Malaysia	BIODIVERSITY AND CONSERVATION	2006	15	3	1013	1025	2000	2001	21		24	5972
110	"Azevedo, Fernanda Cavalcanti; Lemos, Frederico Gemesio; Rocha, Daniel Gomes; Costa, Alan Nilo; Freitas-Junior, Mozart Caetano"	"NEW-RECORD OF THE BUSH DOG Speothos venaticus IN A HUMAN-ALTERED LANDSCAPE IN THE WEST OF MINAS GERAIS, BRAZIL"	BIOSCIENCE JOURNAL	2016	32	5	1324	1330						4036
112	"Azizah, Hidayati; Hani, Maulita Sari; Mambrasar, Ronal"	"ID THE MANTA : MANTA SIGHTINGS IN MANTA SANDY - RAJA AMPAT, WEST PAPUA-INDONESIA"	JURNAL ILMU DAN TEKNOLOGI KELAUTAN TROPIS	2019	11	1	117	122	2018	2018	2		2	
113	"Azlan, JM; Sharma, DSK"	The diversity and activity patterns of wild felids in a secondary forest in Peninsular Malaysia	ORYX	2006	40	1	36	41	2000	2001	21		24	5972
114	"Bacon, Michelle M.; Boyce, Mark S."	"Scavenging of an Elk, Cervus elaphus, Carcass by Multiple Cougars, Puma concolor, in Southeastern Alberta"	CANADIAN FIELD-NATURALIST	2010	124	3	242	245	2009	2009	3		1	34
